Slide TCGA-B0-5083-01A-02-BS2.5c6a998b-aef4-44dc-969d-471fb69fe6c1.svs Done. Slide Dimensions W=7500 H=8320, #Patches=137
Slide TCGA-A3-3343-01A-01-TS1.caaeb264-746d-4154-bb93-d918fd2cf7c4.svs Done. Slide Dimensions W=3500 H=3442, #Patches=17
Slide TCGA-BP-4777-11A-01-TS1.753bc1c7-6d56-4c1c-bd07-7ad51bf6a5ee.svs Done. Slide Dimensions W=3500 H=4816, #Patches=29
Slide TCGA-G6-A5PC-01A-01-TSA.589FAE7C-CBCC-4E8E-8B9D-19930AECE342.svs Done. Slide Dimensions W=20468 H=6603, #Patches=37
Slide TCGA-B8-5162-01A-01-TS1.992c3f3b-b087-4c5b-b28d-ca95864b2f43.svs Done. Slide Dimensions W=3000 H=2964, #Patches=6
Slide TCGA-A3-3365-01A-01-BS1.0ac64da7-38be-4c9c-b972-4835d1ad2db0.svs Done. Slide Dimensions W=21500 H=9741, #Patches=0
Slide TCGA-A3-3323-01A-01-BS1.290253cd-e26f-4722-b587-d1e827f91664.svs Done. Slide Dimensions W=6000 H=6014, #Patches=72
Slide TCGA-CZ-5452-01A-01-TS1.9c59246f-a058-47df-a860-3e4a361bd13d.svs Done. Slide Dimensions W=10500 H=6975, #Patches=135
Slide TCGA-CJ-4908-11A-01-TS1.ef69fc50-7b7b-448a-8a2c-8cff916050dd.svs Done. Slide Dimensions W=10000 H=4391, #Patches=48
Slide TCGA-BP-5000-11A-01-TS1.851e8682-c2bf-4b14-94a5-501410addd9d.svs Done. Slide Dimensions W=4000 H=5011, #Patches=38
Slide TCGA-BP-4977-01A-01-TS1.a93e8379-ec05-4636-805c-5f7be23fafca.svs Done. Slide Dimensions W=12000 H=9662, #Patches=119
Slide TCGA-BP-4959-11A-01-TS1.72899f5f-0f21-4423-969e-d90463f0ea90.svs Done. Slide Dimensions W=5500 H=7728, #Patches=59
Slide TCGA-B0-4833-01A-01-TS1.d13a6cf3-026a-451e-834e-1e57177e015b.svs Done. Slide Dimensions W=6500 H=3436, #Patches=24
